cliente_id,tipo_cliente,antiguedad_meses,tiene_movil,tiene_hogar,oferta_hogar_id,tiene_internet_hogar,es_movistar_total,elegible_mt,plan_actual_id,monto_facturado_prom,edad_rango,ubicacion_departamento,es_usuario_app,consumo_datos_gb_prom,consumo_voz_min_prom,consumo_sms_prom,uso_app_movistar_prom,monto_facturado_prom_6m,dias_mora_prom,meses_moroso,n_reclamos,n_actividad_canal,canal_mas_usado
CLI000016,prepago,142,True,True,OF006,True,False,False,OF002,56.64,65+,Arequipa,True,19.391666666666666,188.16666666666666,8.333333333333334,2.8333333333333335,57.09833333333333,1.6666666666666667,0,0,5,Tienda
CLI000017,prepago,93,True,True,OF005,True,False,False,OF003,82.41,56-65,Lima,False,35.83833333333333,131.5,8.333333333333334,0.0,84.53,0.0,0,0,6,Call In
CLI000018,postpago,24,True,True,OF005,True,True,False,OF021,198.36,26-35,Otro,True,35.60666666666666,182.33333333333334,10.333333333333334,3.0,196.62166666666667,9.333333333333334,1,0,3,Tienda
CLI000019,prepago,152,True,True,OF005,True,False,False,OF002,54.74,65+,Lima,True,20.570000000000004,179.5,9.5,2.6666666666666665,53.78,15.5,2,0,3,Digital
CLI000020,postpago,82,True,False,,False,False,False,OF004,92.48,26-35,Piura,True,65.44,207.16666666666666,7.166666666666667,1.8333333333333333,91.57333333333334,10.333333333333334,2,2,7,Tienda
CLI000021,postpago,91,True,False,,False,False,False,OF002,54.06,26-35,La Libertad,True,17.55666666666667,194.0,7.833333333333333,2.6666666666666665,54.416666666666664,17.333333333333332,2,0,4,Digital
CLI000022,postpago,67,True,False,,False,False,False,OF003,62.28,36-45,Lima,True,39.58166666666667,174.16666666666666,7.833333333333333,3.0,62.550000000000004,3.6666666666666665,1,0,5,Digital
CLI000023,prepago,33,True,True,OF005,True,False,False,OF001,42.18,46-55,Lima,True,9.913333333333332,281.1666666666667,11.0,3.3333333333333335,42.07833333333333,8.333333333333334,2,0,7,Tienda
CLI000024,postpago,167,True,False,,False,False,False,OF004,103.26,26-35,Lambayeque,True,63.965,211.0,8.333333333333334,2.1666666666666665,103.00166666666667,4.166666666666667,1,2,5,Digital
CLI000025,postpago,141,True,False,,False,False,False,OF003,83.45,46-55,Lima,True,36.52,187.0,7.0,2.5,84.91833333333334,0.0,0,0,4,Call In
CLI000026,,116,False,True,OF005,True,False,False,OF005,86.41,18-25,Lambayeque,True,2.605,212.5,7.833333333333333,3.6666666666666665,86.04833333333333,0.0,0,0,5,Digital
CLI000027,postpago,73,True,False,,False,False,False,OF001,38.42,26-35,Piura,True,9.31,207.66666666666666,7.833333333333333,2.6666666666666665,38.138333333333335,16.666666666666668,2,0,3,Digital
CLI000028,prepago,149,True,True,OF010,True,False,False,OF004,100.87,65+,Lima,True,58.43833333333333,168.0,7.666666666666667,3.0,100.17166666666667,0.0,0,0,2,Call Out
CLI000029,postpago,99,True,True,OF005,True,True,False,OF020,146.65,36-45,Lima,False,30.506666666666664,171.83333333333334,9.0,0.0,145.12333333333333,0.0,0,0,4,Call Out
CLI000030,,80,False,True,OF005,True,False,False,OF005,87.46,36-45,Arequipa,True,1.3583333333333334,203.66666666666666,9.333333333333334,2.0,87.03333333333332,14.833333333333334,2,0,2,Call Out
CLI000031,prepago,82,True,False,,False,False,False,OF004,96.71,46-55,Lima,False,56.865,211.66666666666666,9.333333333333334,0.0,94.76333333333334,0.0,0,0,11,Call In
CLI000032,prepago,41,True,False,,False,False,False,OF004,106.73,36-45,Cusco,True,45.92666666666667,182.5,7.666666666666667,3.0,105.72166666666668,3.3333333333333335,1,0,5,Digital
CLI000033,postpago,17,True,True,OF008,True,True,False,OF020,149.18,18-25,Lima,True,22.794999999999998,131.66666666666666,6.5,2.8333333333333335,150.11333333333334,20.5,3,0,3,Tienda
CLI000034,postpago,100,True,True,OF007,False,False,False,OF001,39.68,36-45,Otro,True,7.075,229.0,7.333333333333333,1.8333333333333333,39.67333333333333,0.0,0,0,5,Digital
CLI000035,postpago,160,True,False,,False,False,False,OF004,108.02,65+,Lima,False,55.32666666666666,165.16666666666666,7.833333333333333,0.0,107.205,0.0,0,0,5,Digital
CLI000036,prepago,12,True,False,,False,False,False,OF003,78.11,26-35,Lima,True,32.483333333333334,244.83333333333334,6.666666666666667,1.8333333333333333,79.00833333333334,31.5,4,0,4,Digital
CLI000037,postpago,155,True,False,,False,False,False,OF001,37.08,18-25,Arequipa,False,8.448333333333332,232.66666666666666,6.666666666666667,0.0,37.46,9.5,1,0,5,Call Out
CLI000038,postpago,149,True,False,,False,False,False,OF004,107.9,46-55,Arequipa,True,67.19833333333334,162.0,8.5,2.1666666666666665,109.60166666666667,4.333333333333333,1,0,7,Call In
CLI000039,prepago,50,True,False,,False,False,False,OF002,56.34,36-45,Ica,True,20.37,205.0,9.5,3.0,56.42333333333334,5.333333333333333,1,0,7,Digital
CLI000040,prepago,114,True,True,OF006,True,False,False,OF003,78.74,26-35,Lima,True,37.596666666666664,134.83333333333334,7.5,2.3333333333333335,80.97,10.666666666666666,1,0,7,Tienda
CLI000041,postpago,30,True,True,OF005,True,False,True,OF003,86.1,36-45,Cusco,True,38.531666666666666,129.16666666666666,7.166666666666667,2.6666666666666665,86.77,9.333333333333334,1,0,3,Call In
CLI000042,postpago,137,True,False,,False,False,False,OF001,39.6,56-65,Lima,False,10.926666666666668,212.33333333333334,8.666666666666666,0.0,40.36333333333334,6.166666666666667,1,0,5,Digital
CLI000043,prepago,127,True,False,,False,False,False,OF002,61.01,26-35,Lima,True,17.136666666666667,193.0,9.5,2.6666666666666665,60.105,20.333333333333332,3,0,5,Digital
CLI000044,prepago,64,True,False,,False,False,False,OF003,89.88,26-35,Lima,True,36.660000000000004,204.0,9.666666666666666,4.666666666666667,89.31333333333333,2.1666666666666665,0,3,2,Call Out
CLI000045,,13,False,True,OF005,True,False,False,OF005,88.91,36-45,Piura,True,1.8783333333333332,174.16666666666666,7.833333333333333,3.1666666666666665,87.21166666666666,12.5,3,2,3,Tienda
CLI000046,postpago,175,True,False,,False,False,False,OF002,57.39,36-45,Lima,True,24.3,180.0,9.0,2.8333333333333335,58.785,1.0,0,0,2,Call In
CLI000047,postpago,81,True,False,,False,False,False,OF001,40.46,18-25,Lima,True,10.013333333333334,217.83333333333334,7.833333333333333,1.6666666666666667,40.376666666666665,9.666666666666666,1,0,9,Call In
CLI000048,postpago,161,True,True,OF006,True,False,True,OF004,105.5,36-45,Junin,True,52.115,172.66666666666666,8.166666666666666,4.166666666666667,105.22833333333334,5.833333333333333,1,0,10,Call In
CLI000049,postpago,123,True,False,,False,False,False,OF003,84.65,36-45,Otro,False,38.471666666666664,173.83333333333334,8.666666666666666,0.0,84.83,0.0,0,0,10,Tienda
CLI000050,postpago,141,True,False,,False,False,False,OF004,94.23,36-45,Arequipa,False,49.75,191.5,8.0,0.0,93.49666666666667,9.666666666666666,1,3,5,Call Out
CLI000051,prepago,137,True,False,,False,False,False,OF003,77.2,26-35,Cusco,False,34.93666666666666,130.33333333333334,10.166666666666666,0.0,75.80166666666666,7.166666666666667,1,0,8,Tienda
CLI000052,prepago,36,True,False,,False,False,False,OF004,98.89,26-35,Lima,True,49.01499999999999,192.0,7.333333333333333,3.3333333333333335,98.11666666666667,0.0,0,0,4,Digital
CLI000053,postpago,66,True,True,OF006,True,False,True,OF002,60.34,26-35,Piura,True,18.98,307.6666666666667,9.333333333333334,3.6666666666666665,60.15833333333333,9.0,2,0,6,Call In
CLI000054,prepago,85,True,False,,False,False,False,OF001,39.59,46-55,Arequipa,True,9.936666666666666,184.16666666666666,8.666666666666666,2.0,39.38666666666666,8.833333333333334,1,0,14,Digital
CLI000055,postpago,90,True,False,,False,False,False,OF003,71.39,36-45,Lambayeque,True,50.275,163.0,7.333333333333333,1.5,69.86,5.833333333333333,1,0,4,Call Out
CLI000056,postpago,8,True,True,OF006,True,True,False,OF021,170.56,26-35,Lima,True,41.68666666666667,172.5,7.166666666666667,2.8333333333333335,173.58166666666668,28.833333333333332,4,0,6,Digital
CLI000057,prepago,99,True,True,OF007,False,False,False,OF001,37.84,36-45,Otro,True,9.208333333333334,192.0,8.0,4.166666666666667,37.315,0.0,0,0,6,Tienda
CLI000058,prepago,28,True,True,OF005,True,False,False,OF004,76.17,26-35,Ica,False,58.68833333333333,148.5,7.333333333333333,0.0,74.22666666666667,13.166666666666666,2,0,6,Tienda
CLI000059,prepago,134,True,True,OF010,True,False,False,OF001,35.51,56-65,Lima,True,10.683333333333332,273.8333333333333,8.0,3.0,35.086666666666666,8.833333333333334,1,3,4,Digital
CLI000060,postpago,123,True,True,OF010,True,False,True,OF001,37.48,46-55,Lima,True,7.171666666666667,164.16666666666666,7.5,3.0,37.915,17.666666666666668,3,0,8,Tienda
CLI000061,prepago,167,True,True,OF007,False,False,False,OF003,76.45,18-25,Lima,True,34.93666666666667,226.33333333333334,8.166666666666666,2.8333333333333335,76.34166666666667,1.3333333333333333,0,0,7,Digital
CLI000062,prepago,135,True,False,,False,False,False,OF002,52.38,18-25,Cusco,True,20.038333333333334,133.33333333333334,7.166666666666667,3.8333333333333335,52.57333333333333,2.5,0,0,5,Digital
CLI000063,,66,False,True,OF006,True,False,False,OF006,123.36,18-25,Lima,True,2.1300000000000003,96.16666666666667,7.833333333333333,2.6666666666666665,124.92166666666667,8.833333333333334,1,0,4,Digital
CLI000064,postpago,175,True,False,,False,False,False,OF002,60.46,18-25,Arequipa,True,19.73,171.5,7.5,4.0,60.925000000000004,7.833333333333333,2,0,7,Call In
CLI000065,prepago,74,True,False,,False,False,False,OF004,86.5,36-45,Lima,True,57.07,158.66666666666666,8.5,3.0,87.83333333333333,7.0,1,3,4,Tienda
CLI000066,postpago,59,True,False,,False,False,False,OF003,81.07,26-35,Cusco,True,35.20333333333333,159.0,10.166666666666666,2.3333333333333335,81.47,0.0,0,0,2,Tienda
CLI000067,prepago,163,True,True,OF008,True,False,False,OF004,103.17,46-55,Lima,False,62.51666666666667,179.16666666666666,5.666666666666667,0.0,103.52,6.333333333333333,1,2,6,Call Out
CLI000068,postpago,67,True,True,OF005,True,True,False,OF022,208.96,36-45,Piura,False,61.04,155.0,6.5,0.0,206.45666666666668,0.0,0,0,5,Call In
CLI000069,postpago,14,True,True,OF007,False,False,False,OF002,68.11,18-25,Lima,True,19.208333333333332,148.83333333333334,8.5,2.5,69.76333333333334,29.5,3,1,6,Tienda
CLI000070,prepago,85,True,False,,False,False,False,OF002,59.32,18-25,Otro,True,19.07,174.66666666666666,9.666666666666666,2.6666666666666665,57.56166666666667,10.0,1,0,6,Tienda
CLI000071,,144,False,True,OF009,True,False,False,OF009,133.8,18-25,Lima,True,1.3283333333333334,211.5,7.833333333333333,3.0,134.54333333333332,10.5,2,0,6,Call In
CLI000072,postpago,35,True,False,,False,False,False,OF004,118.16,36-45,Arequipa,False,38.263333333333335,213.16666666666666,8.166666666666666,0.0,114.485,6.333333333333333,1,0,6,Call In
CLI000073,postpago,84,True,True,OF008,True,False,True,OF004,105.81,36-45,La Libertad,True,76.34166666666667,228.16666666666666,7.5,3.5,105.375,5.333333333333333,1,0,5,Call Out
CLI000074,prepago,24,True,True,OF010,True,False,False,OF002,60.68,26-35,Junin,True,18.483333333333334,198.66666666666666,7.5,3.1666666666666665,60.24166666666667,20.333333333333332,3,0,6,Tienda
CLI000075,postpago,124,True,True,OF007,False,False,False,OF004,107.45,18-25,Junin,False,54.20333333333334,130.33333333333334,8.666666666666666,0.0,107.89333333333333,10.666666666666666,2,0,6,Call In
CLI000076,postpago,86,True,False,,False,False,False,OF001,37.62,56-65,Lima,True,11.203333333333333,191.33333333333334,7.666666666666667,3.0,37.818333333333335,5.833333333333333,1,0,8,Digital
CLI000077,postpago,60,True,False,,False,False,False,OF003,74.88,26-35,Lima,True,25.313333333333333,151.83333333333334,7.666666666666667,3.0,73.415,8.166666666666666,1,0,4,Digital
CLI000078,postpago,41,True,True,OF006,True,True,False,OF022,237.59,26-35,Lambayeque,True,68.405,201.66666666666666,6.333333333333333,1.8333333333333333,234.96333333333334,13.666666666666666,2,0,6,Digital
CLI000079,postpago,102,True,False,,False,False,False,OF003,85.96,26-35,Cusco,True,33.87833333333333,201.66666666666666,7.166666666666667,2.0,87.54833333333333,8.666666666666666,1,0,5,Call Out
CLI000080,prepago,121,True,False,,False,False,False,OF004,103.84,18-25,Piura,True,49.37833333333333,154.5,9.0,2.5,101.935,0.8333333333333334,0,2,3,Digital
CLI000081,prepago,170,True,True,OF010,True,False,False,OF002,62.16,46-55,Lima,True,19.146666666666665,153.5,8.833333333333334,3.3333333333333335,61.428333333333335,2.8333333333333335,1,0,3,Digital
CLI000082,postpago,79,True,False,,False,False,False,OF004,93.95,36-45,Ica,True,60.504999999999995,179.16666666666666,7.666666666666667,2.1666666666666665,94.16166666666668,9.666666666666666,1,0,4,Digital
CLI000083,postpago,29,True,False,,False,False,False,OF004,90.61,26-35,Otro,False,57.781666666666666,212.83333333333334,9.833333333333334,0.0,88.80499999999999,5.333333333333333,1,3,4,Call In
CLI000084,postpago,150,True,True,OF009,True,False,True,OF003,80.07,26-35,Lima,True,29.98,142.83333333333334,8.0,3.0,79.55,9.333333333333334,1,0,9,Tienda
CLI000085,postpago,114,True,False,,False,False,False,OF002,62.87,36-45,Lambayeque,True,18.371666666666666,249.5,6.833333333333333,1.8333333333333333,62.68666666666667,6.5,1,0,10,Digital
CLI000086,postpago,127,True,False,,False,False,False,OF004,103.52,26-35,Piura,True,54.504999999999995,233.16666666666666,8.5,2.3333333333333335,105.10666666666667,13.833333333333334,2,0,5,Call Out
CLI000087,postpago,18,True,False,,False,False,False,OF004,93.44,65+,Lima,False,59.665,232.5,8.833333333333334,0.0,93.82666666666667,31.0,4,1,5,Digital
CLI000088,prepago,57,True,True,OF008,True,False,False,OF001,39.88,36-45,Lima,True,10.555,163.66666666666666,8.833333333333334,2.6666666666666665,40.571666666666665,0.0,0,0,14,Digital
CLI000089,prepago,139,True,True,OF009,True,False,False,OF004,87.94,56-65,Junin,True,71.53666666666668,165.66666666666666,7.5,2.6666666666666665,87.16000000000001,7.833333333333333,1,0,5,Tienda
CLI000090,prepago,150,True,False,,False,False,False,OF004,111.27,26-35,Lambayeque,True,60.775,152.16666666666666,7.333333333333333,2.6666666666666665,113.35333333333334,0.0,0,1,5,Call Out
CLI000091,postpago,79,True,False,,False,False,False,OF003,82.3,36-45,Ica,True,38.574999999999996,237.16666666666666,8.666666666666666,1.3333333333333333,81.53,5.833333333333333,1,0,8,Tienda
CLI000092,prepago,145,True,True,OF005,True,False,False,OF004,101.79,26-35,Otro,True,51.71666666666667,111.33333333333333,6.833333333333333,3.3333333333333335,101.73333333333333,11.666666666666666,1,0,7,Call In
CLI000093,prepago,152,True,True,OF010,True,False,False,OF002,67.53,56-65,Lima,False,17.673333333333332,155.83333333333334,8.833333333333334,0.0,67.385,0.0,0,0,4,Call Out
CLI000094,postpago,70,True,True,OF010,True,False,True,OF004,106.48,36-45,Lambayeque,False,62.88999999999999,129.0,8.333333333333334,0.0,107.14166666666667,8.0,1,0,7,Call In
CLI000095,prepago,162,True,False,,False,False,False,OF002,66.02,36-45,Ica,False,16.535,159.83333333333334,10.166666666666666,0.0,66.13333333333334,11.0,2,0,3,Tienda
CLI000096,prepago,52,True,False,,False,False,False,OF002,63.4,18-25,Ica,True,16.95,206.33333333333334,8.0,4.0,63.40333333333333,8.666666666666666,1,0,4,Call In
CLI000097,prepago,44,True,False,,False,False,False,OF002,57.69,36-45,Arequipa,True,18.713333333333335,201.16666666666666,7.5,3.5,57.93333333333334,2.3333333333333335,0,0,12,Call In
CLI000098,prepago,123,True,False,,False,False,False,OF001,34.68,36-45,Lima,True,8.945,147.0,7.0,2.6666666666666665,34.538333333333334,6.166666666666667,1,0,4,Digital
CLI000099,postpago,115,True,False,,False,False,False,OF002,61.14,26-35,Otro,True,21.436666666666667,235.0,7.166666666666667,3.3333333333333335,61.94,0.0,0,0,4,Call Out
CLI000100,postpago,26,True,False,,False,False,False,OF002,55.5,46-55,Otro,True,14.436666666666667,207.33333333333334,8.166666666666666,3.1666666666666665,55.81,18.666666666666668,2,0,7,Call In
CLI000101,prepago,150,True,False,,False,False,False,OF001,39.54,36-45,Ica,True,8.593333333333334,222.0,8.166666666666666,2.5,39.99,1.8333333333333333,0,0,8,Digital
CLI000102,prepago,36,True,False,,False,False,False,OF004,92.97,36-45,La Libertad,True,49.718333333333334,218.0,6.666666666666667,2.0,91.45666666666666,11.333333333333334,2,0,8,Call In
CLI000103,postpago,145,True,False,,False,False,False,OF004,91.2,26-35,Arequipa,False,61.48833333333334,201.0,6.833333333333333,0.0,90.31,0.0,0,0,5,Call In
CLI000104,prepago,2,True,False,,False,False,False,OF002,56.61,46-55,Lambayeque,True,18.53833333333333,143.16666666666666,7.833333333333333,3.5,57.57333333333333,6.666666666666667,2,0,3,Digital
CLI000105,postpago,144,True,False,,False,False,False,OF001,46.64,18-25,Arequipa,False,8.095,139.16666666666666,9.333333333333334,0.0,46.90833333333333,0.0,0,0,5,Digital
CLI000106,postpago,142,True,False,,False,False,False,OF003,72.02,36-45,Lima,True,35.30833333333333,198.66666666666666,6.833333333333333,2.0,72.69500000000001,0.0,0,0,7,Tienda
CLI000107,prepago,141,True,True,OF005,True,False,False,OF004,103.94,56-65,Arequipa,True,68.705,223.33333333333334,7.833333333333333,3.1666666666666665,104.18166666666667,11.5,2,2,5,Call Out
CLI000108,,120,False,True,OF005,True,False,False,OF005,85.18,26-35,La Libertad,True,2.418333333333333,138.83333333333334,6.5,2.8333333333333335,84.13666666666667,10.0,1,0,2,Tienda
CLI000109,prepago,85,True,False,,False,False,False,OF001,40.8,56-65,Lima,False,9.923333333333334,187.0,7.833333333333333,0.0,40.49,3.8333333333333335,1,0,3,Call Out
CLI000110,postpago,127,True,False,,False,False,False,OF001,43.18,56-65,Lima,True,10.315,146.66666666666666,7.666666666666667,4.833333333333333,44.05666666666667,0.0,0,0,3,Call Out
CLI000111,postpago,50,True,True,OF007,False,False,False,OF001,41.71,26-35,Cusco,True,6.785,167.33333333333334,8.166666666666666,5.0,42.568333333333335,16.5,2,0,9,Call In
CLI000112,postpago,141,True,False,,False,False,False,OF002,66.39,18-25,La Libertad,True,20.775000000000002,167.5,9.5,4.0,64.84166666666667,12.833333333333334,2,0,8,Digital
CLI000113,postpago,101,True,False,,False,False,False,OF001,36.7,46-55,Lima,True,10.578333333333333,203.16666666666666,7.666666666666667,3.0,36.876666666666665,11.333333333333334,1,0,9,Digital
CLI000114,,83,False,True,OF005,True,False,False,OF005,89.49,65+,Arequipa,False,2.865,216.0,8.166666666666666,0.0,88.75833333333333,1.1666666666666667,0,0,4,Call In
CLI000115,postpago,92,True,True,OF008,True,False,True,OF002,63.09,26-35,Lima,True,17.525000000000002,141.83333333333334,6.333333333333333,4.0,61.928333333333335,2.0,0,2,7,Digital
CLI000116,prepago,103,True,False,,False,False,False,OF001,40.02,56-65,Arequipa,True,10.243333333333334,221.66666666666666,7.166666666666667,3.3333333333333335,40.805,9.5,1,0,8,Digital
CLI000117,prepago,7,True,False,,False,False,False,OF001,40.45,26-35,Arequipa,True,9.993333333333334,152.33333333333334,8.166666666666666,3.6666666666666665,41.11666666666667,17.166666666666668,2,0,6,Tienda
CLI000118,prepago,26,True,True,OF008,True,False,False,OF002,61.91,26-35,Otro,True,20.080000000000002,216.66666666666666,8.333333333333334,3.3333333333333335,60.75333333333333,9.5,1,0,4,Call In
CLI000119,postpago,45,True,False,,False,False,False,OF003,81.27,56-65,Lima,True,37.574999999999996,202.0,6.5,2.1666666666666665,80.39666666666666,0.0,0,0,9,Call In
CLI000120,prepago,21,True,False,,False,False,False,OF004,98.45,26-35,Lima,True,68.655,194.0,5.333333333333333,3.6666666666666665,98.10166666666667,8.833333333333334,1,0,5,Digital
CLI000121,postpago,80,True,True,OF008,True,True,False,OF022,231.86,46-55,La Libertad,True,47.343333333333334,162.66666666666666,8.0,2.3333333333333335,226.73833333333334,0.0,0,0,0,
CLI000122,postpago,121,True,True,OF007,False,False,False,OF001,41.1,18-25,Lima,False,8.535,198.66666666666666,8.833333333333334,0.0,41.705,8.5,1,0,2,Digital
CLI000123,prepago,118,True,False,,False,False,False,OF001,41.77,26-35,Cusco,True,9.48,146.66666666666666,9.0,2.5,42.321666666666665,11.166666666666666,2,0,12,Call In
CLI000124,postpago,85,True,False,,False,False,False,OF001,46.4,56-65,Junin,True,8.895000000000001,161.83333333333334,7.166666666666667,3.5,46.376666666666665,13.5,2,0,5,Call In
CLI000125,postpago,154,True,False,,False,False,False,OF004,101.2,26-35,Lima,True,62.401666666666664,178.16666666666666,6.833333333333333,2.5,100.66666666666667,14.666666666666666,2,2,5,Tienda
CLI000126,prepago,102,True,True,OF005,True,False,False,OF002,68.17,46-55,Lambayeque,False,22.33,193.5,9.666666666666666,0.0,68.56833333333334,9.5,1,0,4,Tienda
CLI000127,prepago,15,True,False,,False,False,False,OF003,74.32,56-65,Ica,False,36.90833333333333,182.66666666666666,8.5,0.0,74.53833333333334,20.5,3,0,9,Tienda
CLI000128,postpago,138,True,False,,False,False,False,OF004,94.19,46-55,Otro,True,61.953333333333326,123.83333333333333,8.833333333333334,3.1666666666666665,94.72833333333334,13.0,2,0,3,Call In
CLI000129,prepago,104,True,False,,False,False,False,OF001,43.72,56-65,Piura,False,9.715,150.33333333333334,5.666666666666667,0.0,43.826666666666675,9.5,1,0,4,Digital
CLI000130,prepago,115,True,False,,False,False,False,OF004,98.5,56-65,Otro,True,59.48333333333333,163.83333333333334,8.166666666666666,2.5,99.26333333333334,5.666666666666667,1,0,8,Call In
CLI000131,postpago,102,True,True,OF009,True,True,False,OF021,214.08,18-25,Lima,True,41.79,148.0,5.333333333333333,3.1666666666666665,213.13833333333332,1.0,0,0,3,Digital
CLI000132,postpago,100,True,True,OF007,False,False,False,OF004,87.68,36-45,Lima,True,49.37,155.83333333333334,7.5,2.8333333333333335,89.96833333333332,9.166666666666666,1,0,7,Call Out
CLI000133,postpago,17,True,False,,False,False,False,OF001,41.12,26-35,Lima,False,8.833333333333334,209.0,7.666666666666667,0.0,41.071666666666665,21.5,3,0,5,Digital
CLI000134,prepago,101,True,False,,False,False,False,OF001,45.74,46-55,Piura,True,9.178333333333333,169.66666666666666,6.0,3.6666666666666665,44.57333333333333,0.0,0,0,5,Digital
CLI000135,postpago,144,True,True,OF005,True,False,True,OF002,62.09,46-55,Lambayeque,True,15.275,240.5,7.833333333333333,2.3333333333333335,60.99,8.833333333333334,1,0,13,Digital
CLI000136,prepago,55,True,False,,False,False,False,OF004,107.58,26-35,Otro,True,52.468333333333334,256.8333333333333,7.5,2.8333333333333335,107.41000000000001,2.3333333333333335,0,3,4,Call In
CLI000137,prepago,109,True,True,OF007,False,False,False,OF004,106.86,46-55,Piura,True,58.82833333333334,212.33333333333334,9.833333333333334,3.1666666666666665,105.13166666666666,0.0,0,0,6,Call In
CLI000138,postpago,6,True,True,OF008,True,True,False,OF022,233.9,26-35,Lima,False,51.93166666666667,216.5,8.5,0.0,232.35333333333332,26.166666666666668,4,3,9,Digital
CLI000139,prepago,63,True,False,,False,False,False,OF002,64.29,36-45,Junin,True,17.243333333333336,183.0,7.0,3.5,63.50666666666667,0.0,0,1,3,Tienda
CLI000140,postpago,79,True,False,,False,False,False,OF002,56.64,26-35,Lima,True,18.901666666666667,156.83333333333334,7.333333333333333,5.166666666666667,57.318333333333335,0.0,0,0,5,Call Out
CLI000141,prepago,177,True,True,OF007,False,False,False,OF002,50.06,26-35,Piura,False,19.66,234.83333333333334,8.666666666666666,0.0,48.75333333333333,7.333333333333333,1,0,3,Digital
CLI000142,prepago,39,True,True,OF005,True,False,False,OF002,57.16,46-55,Otro,True,21.771666666666665,160.66666666666666,8.666666666666666,2.3333333333333335,56.65,0.0,0,0,7,Digital
CLI000143,postpago,50,True,False,,False,False,False,OF001,48.31,36-45,Piura,True,9.988333333333333,191.0,7.5,2.8333333333333335,47.85666666666666,16.0,2,0,3,Call In
CLI000144,postpago,74,True,False,,False,False,False,OF003,75.98,56-65,Lima,True,38.03,147.66666666666666,9.5,4.166666666666667,75.78666666666666,7.166666666666667,1,3,3,Tienda
CLI000145,postpago,179,True,True,OF005,True,True,False,OF020,138.9,46-55,Lima,True,17.036666666666665,85.5,8.166666666666666,3.0,140.32333333333332,13.5,2,0,7,Digital
